Código,RNOS,Nombre,Tipo de cobertura,Provincia,Localidad,Sigla,Domicilio,Teléfono 1,Teléfono 2,Mail
997001,997001,PROGRAMA FEDERAL INCLUIR SALUD (PFIS),Plan o seguro público,Ministerio de Salud de la Nación,CIUDAD DE BUENOS AIRES,PFIS,Sin especificar,null,null,null
996001,null,PLAN NACER/PROGRAMA SUMAR,Plan o seguro público,Ministerio de Salud de la Nación,CIUDAD DE BUENOS AIRES,SUMAR,AV. 9 DE JULIO 1925 PISO 12°,null,null,null
924001,924001,O.S.P. TIERRA DEL FUEGO(IPAUSS),Obra social,Tierra del Fuego,null,IPAUSS,Sin especificar,null,null,null
923001,923001,O.S.P. SANTA CRUZ (CSS),Obra social,Santa Cruz,null,CSS,Sin especificar,null,null,null
922001,922001,O.S.P. RIO NEGRO (IPROSS),Obra social,Río Negro,null,IPROSS,Sin especificar,null,null,null
921001,921001,O.S.P. NEUQUEN (ISSN),Obra social,Neuquén,null,ISSN,Sin especificar,null,null,null
920001,920001,O.S.P. MISIONES (IPS),Obra social,Misiones,null,IPS MISIONES,Sin especificar,null,null,null
919001,919001,O.S.P. LA PAMPA (SEMPRE),Obra social,La Pampa,null,SEMPRE,Sin especificar,null,null,null
918002,918002,O.S.P. FORMOSA (AMP),Obra social,Formosa,null,AMP,Sin especificar,null,null,null
918001,918001,O.S.P. FORMOSA (IMPF),Obra social,Formosa,null,IMPF,Sin especificar,null,null,null
917001,917001,O.S.P. CHUBUT (SEROS),Obra social,Chubut,null,SEROS,Sin especificar,null,null,null
916001,916001,O.S.P. CHACO (INSSSEP),Obra social,Chaco,null,INSSSEP,Sin especificar,null,null,null
915001,915001,O.S.P. TUCUMAN (IPSST),Obra social,Tucumán,null,IPSST,Sin especificar,null,null,null
914001,914001,O.S.P. SANTIAGO DEL ESTERO (IOSEP),Obra social,Santiago del Estero,null,IOSEP,Sin especificar,null,null,null
913001,913001,O.S.P. SANTA FE (IAPOS),Obra social,Santa Fe,null,IAPOS,Sin especificar,null,null,null
912001,912001,O.S.P. SAN LUIS (DOSEP),Obra social,San Luis,null,DOSEP,Sin especificar,null,null,null
911001,911001,O.S.P. SAN JUAN (DOS),Obra social,San Juan,null,DOS,Sin especificar,null,null,null
910001,910001,O.S.P. SALTA (IPS),Obra social,Salta,null,IPS SALTA,Sin especificar,null,null,null
909001,909001,O.S.P. MENDOZA (OSEP),Obra social,Mendoza,null,OSEP,Sin especificar,null,null,null
908001,908001,O.S.P. LA RIOJA (APOS),Obra social,La Rioja,null,APOS,Sin especificar,null,null,null
907001,907001,O.S.P. JUJUY (ISJ),Obra social,Jujuy,null,ISJ,Sin especificar,null,null,null
906001,906001,O.S.P. ENTRE RIOS (IOSPER),Obra social,Entre Ríos,null,IOSPER,Sin especificar,null,null,null
905001,905001,O.S.P. CORRIENTES (IOSCOR),Obra social,Corrientes,null,IOSCOR,Sin especificar,null,null,null
904001,904001,O.S.P. CORDOBA (APROSS),Obra social,Córdoba,null,APROSS,Sin especificar,null,null,null
903001,903001,O.S.P. CATAMARCA (OSEP),Obra social,Catamarca,null,OSEP,Sin especificar,null,null,null
902001,902001,O.S.P. BUENOS AIRES (IOMA),Obra social,Buenos Aires,null,IOMA,Sin especificar,null,null,null
901001,901001,O.S.P. CIUDAD AUT. DE BUENOS AIRES (ObSBA),Obra social,CABA,null,ObSBA,Sin especificar,null,null,null
900102,900102,OBRA SOCIAL DEL PERSONAL DE EMPRESAS FIAT Y EMPRESAS PEUGEOT CITROEN ARGENTINA,Obra social,CABA,CIUDAD DE BUENOS AIRES,OSPEF Y EPCA,"AVDA CORDOBA 487 6º PISO OFICINA ""L""",4 312-8261,4 312-8269,obrasocial@osfp.com.ar
800501,800501,OBRA SOCIAL ACEROS PARANA,Obra social,Buenos Aires,SAN NICOLAS DE LOS ARROYOS,null,AVDA. MORENO 187,03461-425632,03461-43-7600,info@osap.org.ar
