Agentes del Seguro Ley 23.660, Art.1Â°, inc. i)
Listado descargado el dï¿½a 09-05-2025 16:27

RNAS	denominacion	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	
900102	OBRA SOCIAL DEL PERSONAL DE EMPRESAS FIAT Y EMPRESAS PEUGEOT CITROEN ARGENTINA                                                                                                                          	OSPEF Y EPCA      	AV. LEANDRO N. ALEN 530 PISO 11                   	1001	CAPITAL FEDERAL               	NO POSEE            	obrasocial@osfp.com.ar	no posee
900300	ASOCIACION MUTUAL RURALISTA                                                                                                                                                                             	AMUR              	TUCUMAN 2540                                      	3000	SANTA FE                      	                    		www.amur.com.ar
900409	LA CASA DEL MEDICO MUTUAL                                                                                                                                                                               	                  	VIRASORO 1249                                     	2000	SANTA FE                      	                    		www.italmedicasalud.com.ar
900508	CYNTHIOS SALUD S.A.                                                                                                                                                                                     	                  	TINOGASTA 5432, PB                                	1408	CAPITAL FEDERAL               	                    	comercializacion@cynthios.com.ar
900607	SABER S.A.                                                                                                                                                                                              	                  	SAN MARTIN 554                                    	1876	BUENOS AIRES                  	                    	legales@sabersalud.com.ar
900706	PRESTADORES SANATORIALES SA                                                                                                                                                                             	                  	TUCUMAN 2143                                      	3300	MISIONES                      	                    	finanzas@consalud.com.ar
900805	SWISS MEDICAL S.A.                                                                                                                                                                                      	                  	SAN MARTIN 323 PISO 12                            	1004	CAPITAL FEDERAL               	                    	smg.prepago@swissmedical.com.ar
900904	ASOCIACION MUTUAL DE SALUD CIUDADELA                                                                                                                                                                    	                  	AV. GAONA 3918                                    	1702	BUENOS AIRES                  	                    	mutual.ciudadela@gmail.com
901006	MEDICUS SOCIEDAD ANONIMA DE ASISTENCIA MEDICA Y CIENTIFICA                                                                                                                                              	                  	LARREA 877                                        	1117	CAPITAL FEDERAL               	0800-3337624        	judiciales@medicus.com.ar	www.medicus.com.ar
901105	GALENO ARGENTINA S.A.                                                                                                                                                                                   	                  	ELVIRA RAWSON DE DELLEPIANE 150                   	1107	CAPITAL FEDERAL               	0800 777-4253       	mirna.kaploen@galenoargentina.com.ar	www.e-galeno.com.ar
901204	HOSPITAL ALEMAN ASOCIACION CIVIL                                                                                                                                                                        	                  	AV PUEYRREDON 1640                                	1118	CAPITAL FEDERAL               	                    	Sbonitz@hospitalaleman.com	www.hospitalaleman.com.ar
901402	MEDIFE ASOCIACION CIVIL                                                                                                                                                                                 	                  	LIMA 87                                           	1073	CAPITAL FEDERAL               	                    	marianoramirez@medife.om.ar	www.medife.com.ar
901501	HOMINIS S.A.                                                                                                                                                                                            	                  	FRANCISCO ACUÑA DE FIGUEROA 1239                  	1180	CAPITAL FEDERAL               	0800 222-3832       	legales@hominis.com.ar	www.mphominis.com.ar
901600	ASISTENCIA SANITARIA INTEGRAL S.A.                                                                                                                                                                      	                  	WENCESLAO DE TATA 4726                            	1657	BUENOS AIRES                  	                    	asi@asi.com.ar
901709	MUTUAL MEDICA CONCORDIA                                                                                                                                                                                 	                  	9 DE JULIO Nº 15                                  	3200	ENTRE RIOS                    	                    	contaduría@unimedicaconcordia.com.ar
901808	ASOCIACION MUTUAL DE PARTICIPANTES DE ECONOMIA SOLIDARIAS                                                                                                                                               	AMPES             	DON BOSCO 218                                     	5500	MENDOZA                       	                    	gerencia@ampes.net
901907	SOREMER SA                                                                                                                                                                                              	                  	BERNARDO DE MONTEAGUDO 815                        	4000	TUCUMAN                       	                    	miriamdiaz@soremer.com.ar
902009	PARQUE SALUD SA                                                                                                                                                                                         	                  	BU. ILLIA N.º 257                                 	5000	CORDOBA                       	                    	mguevara.psalud@gmail.com
902108	ASOCIACION MUTUAL SANCOR                                                                                                                                                                                	                  	25 DE MAYO Nº 201                                 	2322	SANTA FE                      	                    	andrea.gueli@sancorsalud.com.ar
902207	NATIVUS SRL                                                                                                                                                                                             	                  	DEL TOLKEYEN 1390                                 	9410	TIERRA DEL FUEGO              	                    	ivan.rivera@tacargentina.com.ar
902306	ASOCIACION MUTUAL DEL PERSONAL, ASESORES Y DIRECTIVOS DE GRUPO SAN NICOLAS S.R.L                                                                                                                        	                  	9 DE JULIO 1663                                   	2000	SANTA FE                      	                    	mutual@gruposannicolas.com.ar
902405	PLENIMEDICAL SA                                                                                                                                                                                         	                  	SUCRE 225                                         	5000	CORDOBA                       	                    	claudia@medicalsalud.org
902504	HOSPITAL BRITANICO DE BUENOS AIRES ASOCIACION CIVIL                                                                                                                                                     	                  	PERDRIEL Nº 74                                    	1280	CAPITAL FEDERAL               	                    	sesorialegal@hbritanico.com.ar
902603	CENTRO DE EDUCACION MEDICA E INVESTIGACIONES CLINICAS NORBERTO QUIRNO - CEMIC                                                                                                                           	CEMIC             	AV. LAS HERAS 2939                                	1425	CAPITAL FEDERAL               	                    	vbaliari@cemic.edu.ar
902702	SOCIEDAD ITALIANA DE BENEFICENCIA EN BUENOS AIRES                                                                                                                                                       	                  	PERON Nº 4190                                     	1199	CAPITAL FEDERAL               	                    		WWW.HOSPITALITALIANO.ORG.AR
902801	APRES SA                                                                                                                                                                                                	                  	AV. ANDRÉS BARANDA 210                            	1878	BUENOS AIRES                  	                    	idegrossi@apres.com.ar
902900	OMINT SOCIEDAD ANÓNlMA DE SERVICIOS                                                                                                                                                                     	                  	AYACUCHO 1781                                     	1112	CAPITAL FEDERAL               	                    	legales@omint.com.ar
903002	ASOCIACIÓN CIVIL DE ESTUDIOS SUPERIORES (HOSPITAL AUSTRAL)                                                                                                                                              	                  	CERRITO 1250                                      	1010	CAPITAL FEDERAL               	                    	australsaludprestadores@cas.austral
903101	AVALIAN SALUD Y BIENESTAR COOPERATIVA LIMITADA                                                                                                                                                          	                  	COMBATE DE LOS POZOS 220                          	1079	CAPITAL FEDERAL               	                    	legales@avalian.com
903200	MUTUAL FEDERADA "25 DE JUNIO" SOCIEDAD DE PROTECCIÓN RECÍPROCA                                                                                                                                          	                  	MORENO 1222                                       	2000	SANTA FE                      	                    	CONTADURIA@FEDERADA.COM
903309	GRUPO DDM S.A.                                                                                                                                                                                          	                  	JUNIN 1596                                        	1113	CAPITAL FEDERAL               	                    	notificaciones@grupopremedic.com.ar
903408	ROI SA                                                                                                                                                                                                  	                  	RECONQUISTA 1016, PISO 9                          	1003	CAPITAL FEDERAL
903507	PREVENCIÓN SALUD S.A.                                                                                                                                                                                   	                  	AV. INDEPENDENCIA 333                             	2322	SANTA FE                      	                    	gerencia@prevencionsalud.com.ar
903606	ENSALUD S.A.                                                                                                                                                                                            	                  	SAN MARTIN 480                                    	1359	CAPITAL FEDERAL               	                    	tad@ensalud.org
903705	SISTEMA INTEGRADO DE PRESTADORES DE SALUD S.A.                                                                                                                                                          	                  	25 DE MAYO 266 PB                                 	5000	CORDOBA                       	                    	legales@sipssa.com.ar
903804	GERMED S.A.                                                                                                                                                                                             	                  	GANDINI 128                                       	6000	BUENOS AIRES                  	                    	amancini@grupolpf.com.ar
903903	MET-CORDOBA SA                                                                                                                                                                                          	                  	OBISPO ORO 50                                     	5000	CORDOBA                       	                    	legales@metmedicina.com
904005	GEA SA                                                                                                                                                                                                  	                  	HIPOLITO YRIGOYEN 433                             	5000	CORDOBA                       	                    	dallasia@geanet.com.ar
904104	PRIVAMED S.A.                                                                                                                                                                                           	                  	URUGUAY 469 PISO 3                                	1015	CAPITAL FEDERAL               	                    	info@privamedsa.com
904203	PREMEDICA S.A.                                                                                                                                                                                          	                  	JUNIN 401                                         	4700	CATAMARCA                     	                    	premedicasa@gmail.com
904302	COBERTURA DE SALUD S.A.                                                                                                                                                                                 	                  	SANTIAGO DEL ESTERO 140, PISO 7                   	4000	TUCUMAN                       	                    	mmolina@e-boreal.com.ar
904401	ASOCIACION MUTUAL MEDICA DE VILLA MARIA                                                                                                                                                                 	                  	JOSE RUCCI 466                                    	5900	CORDOBA                       	                    	comunicacion@sossalud.com.ar
904500	MEDYCIN ARGENTINO S.A.                                                                                                                                                                                  	                  	MALABIA 444, PISO 4º J                            	1414	CAPITAL FEDERAL               	                    	medycinargentino@gmail.com
904609	ASOCIACIÓN MUTUAL FRANCO ANDINA                                                                                                                                                                         	                  	AV COLON Nº 457                                   	5500	MENDOZA                       	                    	rancomountain@gmail.com
904708	ASOCIACIÓN MUTUAL DEL CONTROL INTEGRAL                                                                                                                                                                  	AMCI              	PASAJE LA PIEDAD Nº 17                            	1037	CAPITAL FEDERAL
