 Obras Sociales para Empleados de Monotributistas.
Listado descargado el dï¿½a 09-05-2025 16:27

RNAS	denominacion	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	
1508	OBRA SOCIAL DE LA ASOCIACION CIVIL PROSINDICATO DE AMAS DE CASA DE LA REPUBLICA ARGENTINA                                                                                                               	OSSACRA           	BARTOLOME MITRE Nª 844                            	1036	CAPITAL FEDERAL               	                    	info@ossacra.org.ar
2105	OBRA SOCIAL PROFESIONALES DEL TURF DE LA REPUBLICA ARGENTINA                                                                                                                                            	OSPROTURA         	PANAMA 950                                        	1640	BUENOS AIRES                  	                    	osprotura@gremialdelturf.com.ar
2501	OBRA SOCIAL DE MINISTROS, SECRETARIOS Y SUBSECRETARIOS                                                                                                                                                  	OSMISS            	ADOLFO ALSINA 943 PISO 2                          	1088	CAPITAL FEDERAL               	0800-3336373        	gerencia.administracion@osmiss.org.ar	www.osmiss.org.ar
2600	OBRA SOCIAL DE LOS TRABAJADORES DE LA CARNE Y AFINES DE LA REPUBLICA ARGENTINA                                                                                                                          	O.S.T.C.A.R.A.    	PARANA 749 2º A                                   	1017	CAPITAL FEDERAL               	                    	secretaria@ostcara.org.ar
3405	OBRA SOCIAL ASOCIACION  MUTUAL DE LOS OBREROS CATOLICOS PADRE FEDERICO GROTE                                                                                                                            	O.S.A.M.O.C       	BILLINGHURST 1669                                 	1425	CAPITAL FEDERAL               	0810-555-6726       	prestaciones@osamoc.ar
3504	OBRA SOCIAL DE CONDUCTORES TITULARES DE TAXIS DE LA CIUDAD AUTONOMA DE BUENOS AIRES                                                                                                                     	O.S.TAX.B.A       	FRAGATA PRESIDENTE SARMIENTO 661                  	1416	CAPITAL FEDERAL
3603	OBRA SOCIAL PROGRAMAS MEDICOS SOCIEDAD ARGENTINA DE CONSULTORIA MUTUAL                                                                                                                                  	                  	ESPAÑA 160 PISO 2                                 	1832	BUENOS AIRES                  	0800-345-7764       	os.info@osprogmed.com.ar	www.osprogmed.com.ar
104603	OBRA SOCIAL DE OPERADORES CINEMATOGRAFICOS                                                                                                                                                              	OSOC              	VIAMONTE 2045                                     	1056	CAPITAL FEDERAL
104801	OBRA SOCIAL DE COLOCADORES DE AZULEJOS, MOSAICOS, GRANITEROS, LUSTRADORES Y PORCELANEROS                                                                                                                	OSCAMGLYP         	JOSE EUSEBIO COLOMBRES 1419                       	1238	CAPITAL FEDERAL               	                    	info@oscamglyp.com	www.oscamglyp.com
106203	OBRA SOCIAL DEL PERSONAL DE DISTRIBUIDORAS CINEMATOGRAFICAS DE LA R.A.                                                                                                                                  	OSPEDICI          	AYACUCHO 512/514   1º Y 2º PISO                   	1025	CAPITAL FEDERAL               	                    	consultas@ospedici.ar	www.ospedici.ar
108001	OBRA SOCIAL  PARA EL PERSONAL DE LA INDUSTRIA FORESTAL DE SANTIAGO DEL ESTERO                                                                                                                           	OSPIFSE           	MISIONES 332                                      	4200	SANTIAGO DEL ESTERO           	                    	ingresos@ospifse.com.ar	www.ospifse.com.ar
110305	OBRA SOCIAL DEL PERSONAL LADRILLERO                                                                                                                                                                     	OSPL              	SAN JOSE 83 PISO 5                                	1076	CAPITAL FEDERAL               	                    	secretariamedica@o-s-p-l.org
110404	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LADRILLERA A MAQUINA                                                                                                                                           	OSPILM            	25 DE MAYO 1724 E/ LINCOLN Y JUAREZ (79 1724 E 46/	1650	BUENOS AIRES                  	                    	institucional@ospilm.org.ar	www.ospilm.org.ar
111308	OBRA SOCIAL DE MAQUINISTAS DE TEATRO Y TELEVISION                                                                                                                                                       	                  	AVDA CORRIENTES 1642 PISO 1 OFICINA 21            	1042	CAPITAL FEDERAL               	                    	osmtt@osmtt.org.ar
111704	OBRA SOCIAL DE ENCARGADOS APUNTADORES MARITIMOS                                                                                                                                                         	OSEAM             	MEXICO 2183 DTO A                                 	1222	CAPITAL FEDERAL               	                    	oseam@speedy.com.ar
112707	OBRA SOCIAL DEL PERSONAL MOSAISTA                                                                                                                                                                       	OSPM              	QUIRNO 89                                         	1406	CAPITAL FEDERAL               	                    	mosaistas@hotmail.com	RESOLUCION 147/12 (VER OBSERVACIONES)
112806	OBRA SOCIAL DE MUSICOS                                                                                                                                                                                  	OSDEM             	AVDA.  BELGRANO 3655                              	1210	CAPITAL FEDERAL               	                    	institucional@osdem.org.ar	www.osdem.arg.ar
115102	OBRA SOCIAL DE TRABAJADORES DE PRENSA DE BUENOS AIRES                                                                                                                                                   	OSTPBA            	PERU 590 PISO 5                                   	1068	CAPITAL FEDERAL               	0800-345-6787       	raulbarr22@hotmail.com	www.ostpba.org.ar
116105	OBRA SOCIAL DE CAPATACES  ESTIBADORES PORTUARIOS                                                                                                                                                        	OSCEP             	PINZON 1012/1016                                  	1161	CAPITAL FEDERAL               	                    	oscep@fideisalud.com.ar
117702	OBRA SOCIAL DEL PERSONAL DE PRENSA DE MAR DEL PLATA                                                                                                                                                     	OSPREN            	DORREGO 1734                                      	7600	BUENOS AIRES                  	                    	ospren@ospren.org.ar	www.prensamardelplata.org.ar
118002	OBRA SOCIAL DE EMPLEADOS DE PRENSA DE CORDOBA                                                                                                                                                           	OSEPC             	OBISPO TREJO 365                                  	5000	CORDOBA                       	351-4229214         	prensalud@osepc.com.ar	www.prensalud.com.ar
118200	OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLICA ARGENTINA                                                                                                                                   	OSAPM             	AVELLANEDA 2144                                   	1406	CAPITAL FEDERAL               	                    	obra_social@apm.org.ar	www.apm.org.ar
122104	OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA. (ANDAR)                                                                                                                                  	OSVVRA            	MORENO 2045                                       	1094	CAPITAL FEDERAL               	0800-345-26327      	info@redsocialfuva.com.ar	www.redsocialfuva.org.ar
122500	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL VIDRIO                                                                                                                                                     	OSPIV             	BALBASTRO 453                                     	1424	CAPITAL FEDERAL               	                    		www.soivavidrio.com.ar
123602	OBRA SOCIAL DE TRABAJADORES DE PERKINS ARGENTINA S.A.I.C                                                                                                                                                	OSTP              	ROQUE SAENZ PEÑA 1377                             	5000	CORDOBA                       	0800-444-0663       	obrasocialperkins@hotmail.com
123701	OBRA SOCIAL DE PEONES DE TAXIS DE LA CAPITAL FEDERAL                                                                                                                                                    	OSPETAX           	AVDA LA PLATA 1554/60/62/64                       	1250	CAPITAL FEDERAL               	                    	sindicato taxis@speedy.com.ar	www.ospetax.org.ar
125509	OBRA SOCIAL DE LA FEDERACION ARGENTINA DEL TRABAJADOR  DE LAS UNIVERSIDADES NACIONALES                                                                                                                  	OSFATUN           	AV BELGRANO 3768 4TO. PISO                        	1210	CAPITAL FEDERAL               	0-800-666--5173     	info@osfatun.com.ar	www.osfatun.com.ar
126809	OBRA SOCIAL DE CONDUCTORES DE REMISES Y AUTOS AL INSTANTE Y AFINES                                                                                                                                      	OSCRAIA           	CERRITO 228 - 1º "B"                              	1010	CAPITAL FEDERAL               	                    	oscraia@live.com.ar
127406	OBRA SOCIAL DE OBREROS Y EMPLEADOS TINTOREROS SOMBREREROS Y LAVADEROS DE LA REPUBLICA ARGENTINA                                                                                                         	OSOETSYLARA       	CULPINA 25/29                                     	1406	CAPITAL FEDERAL               	                    		www.uoesylra.org
128508	OBRA SOCIAL DE FARMACEUTICOS Y BIOQUIMICOS                                                                                                                                                              	OSFYB             	AGUERO 1595 PISO 13                               	1425	CAPITAL FEDERAL               	                    		www.safyb.org.ar
400404	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA CERVECERA Y MALTERA                                                                                                                               	SERVESALUD        	RODRIGUEZ PEÑA 1474                               	1021	CAPITAL FEDERAL               	0800-362-7398       	sedece@servesalud.com.ar
400602	OBRA SOCIAL DEL PERSONAL DIRECTIVO DE LA INDUSTRIA DE LA CONSTRUCCION                                                                                                                                   	OSDIC             	BILLINGHURST 1662 PISO 2                          	1425	CAPITAL FEDERAL
401209	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA METALURGICA  Y DEMAS ACTIVIDADES EMPRESARIAS                                                                                                      	OSIM              	MONTEVIDEO 373 PISO 4º                            	1019	CAPITAL FEDERAL               	                    	osim@osim.com.ar	www.osim.com.ar
401704	OBRA SOCIAL  DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS                                                                                                                                            	OSDEPYM           	RECONQUISTA 458 PISO 2                            	1003	CAPITAL FEDERAL               	                    	info@osdepym.com.ar	www.osdepym.com.ar
402202	OBRA SOCIAL MUTUALIDAD INDUSTRIAL TEXTIL ARGENTINA                                                                                                                                                      	OSMITA            	PARAGUAY 610 PISO 6                               	1057	CAPITAL FEDERAL               	0800-888-6482       	info@osmita.com.ar	www.osmita.com.ar
402608	OBRA SOCIAL ASOCIACION DE SERVICIOS SOCIALES PARA EMPRESARIOS Y PERSONAL DE DIRECCION DE EMPRESAS DEL COMERCIO, SERVICIOS, PRODUCCION, INDUSTRIA Y CIVIL (ASSPE )                                       	ASSPE             	BARTOLOME MITRE 1399                              	1312	CAPITAL FEDERAL               	0800-345-7332       	info@asspesalud.com.ar	www.asspe.com.ar
402707	OBRA SOCIAL DE DIRECCION OSDO                                                                                                                                                                           	                  	AVDA. LUIS MARUA CAMPOS 46 PISO 8                 	1425	CAPITAL FEDERAL               	0800-5556736        	info@osdo.com.ar	WWW.OSDO.COM.AR
901808	ASOCIACION MUTUAL DE PARTICIPANTES DE ECONOMIA SOLIDARIAS                                                                                                                                               	AMPES             	DON BOSCO 218                                     	5500	MENDOZA                       	                    	gerencia@ampes.net
903903	MET-CORDOBA SA                                                                                                                                                                                          	                  	OBISPO ORO 50                                     	5000	CORDOBA                       	                    	legales@metmedicina.com
