Agentes del Seguro que aceptan de Monotributistas. 
Listado descargado el día 24-11-2024 22:47

rnos	denominacion	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	
3405	OBRA SOCIAL ASOCIACION  MUTUAL DE LOS OBREROS CATOLICOS PADRE FEDERICO GROTE                                                                                                                            	O.S.A.M.O.C       	BILLINGHURST 1669                                 	1425	CAPITAL FEDERAL               	0810-555-6726       	prestaciones@osamoc.ar
3603	OBRA SOCIAL PROGRAMAS MEDICOS SOCIEDAD ARGENTINA DE CONSULTORIA MUTUAL                                                                                                                                  	                  	ESPAÑA 160 PISO 2                                 	1832	BUENOS AIRES                  	0800-345-7764       	os.info@osprogmed.com.ar	www.osprogmed.com.ar
104603	OBRA SOCIAL DE OPERADORES CINEMATOGRAFICOS                                                                                                                                                              	OSOC              	VIAMONTE 2045                                     	1056	CAPITAL FEDERAL
106203	OBRA SOCIAL DEL PERSONAL DE DISTRIBUIDORAS CINEMATOGRAFICAS DE LA R.A.                                                                                                                                  	OSPEDICI          	AYACUCHO 512/514   1º Y 2º PISO                   	1025	CAPITAL FEDERAL               	                    	consultas@ospedici.ar	www.ospedici.ar
111308	OBRA SOCIAL DE MAQUINISTAS DE TEATRO Y TELEVISION                                                                                                                                                       	                  	AVDA CORRIENTES 1642 PISO 1 OFICINA 21            	1042	CAPITAL FEDERAL               	                    	osmtt@osmtt.org.ar
115102	OBRA SOCIAL DE TRABAJADORES DE PRENSA DE BUENOS AIRES                                                                                                                                                   	OSTPBA            	PERU 590 PISO 5                                   	1068	CAPITAL FEDERAL               	0800-345-6787       	raulbarr22@hotmail.com	www.ostpba.org.ar
116105	OBRA SOCIAL DE CAPATACES  ESTIBADORES PORTUARIOS                                                                                                                                                        	OSCEP             	PINZON 1012/1016                                  	1161	CAPITAL FEDERAL               	                    	oscep@fideisalud.com.ar
117702	OBRA SOCIAL DEL PERSONAL DE PRENSA DE MAR DEL PLATA                                                                                                                                                     	OSPREN            	DORREGO 1734                                      	7600	BUENOS AIRES                  	                    	ospren@ospren.org.ar	www.prensamardelplata.org.ar
118002	OBRA SOCIAL DE EMPLEADOS DE PRENSA DE CORDOBA                                                                                                                                                           	OSEPC             	OBISPO TREJO 365                                  	5000	CORDOBA                       	351-4229214         	prensalud@osepc.com.ar	www.prensalud.com.ar
122104	OBRA SOCIAL DE VIAJANTES VENDEDORES DE LA REPUBLICA ARGENTINA. (ANDAR)                                                                                                                                  	OSVVRA            	MORENO 2045                                       	1094	CAPITAL FEDERAL               	0800-345-26327      	info@redsocialfuva.com.ar	www.redsocialfuva.org.ar
127406	OBRA SOCIAL DE OBREROS Y EMPLEADOS TINTOREROS SOMBREREROS Y LAVADEROS DE LA REPUBLICA ARGENTINA                                                                                                         	OSOETSYLARA       	CULPINA 25/29                                     	1406	CAPITAL FEDERAL               	                    		www.uoesylra.org
128508	OBRA SOCIAL DE FARMACEUTICOS Y BIOQUIMICOS                                                                                                                                                              	OSFYB             	AGUERO 1595 PISO 13                               	1425	CAPITAL FEDERAL               	                    		www.safyb.org.ar
401704	OBRA SOCIAL  DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS                                                                                                                                            	OSDEPYM           	RECONQUISTA 458 PISO 2                            	1003	CAPITAL FEDERAL               	                    	info@osdepym.com.ar	www.osdepym.com.ar
402202	OBRA SOCIAL MUTUALIDAD INDUSTRIAL TEXTIL ARGENTINA                                                                                                                                                      	OSMITA            	PARAGUAY 610 PISO 6                               	1057	CAPITAL FEDERAL               	0800-888-6482       	info@osmita.com.ar	www.osmita.com.ar
402608	OBRA SOCIAL ASOCIACION DE SERVICIOS SOCIALES PARA EMPRESARIOS Y PERSONAL DE DIRECCION DE EMPRESAS DEL COMERCIO, SERVICIOS, PRODUCCION, INDUSTRIA Y CIVIL (ASSPE )                                       	ASSPE             	BARTOLOME MITRE 1399                              	1312	CAPITAL FEDERAL               	0800-345-7332       	info@asspefideicomiso.com.ar	www.asspe.com.ar
