Agentes del Seguro de otra Naturaleza.
Listado descargado el dï¿½a 09-05-2025 16:27

RNAS	denominacion	sigla	domicilio	localidad	cp	provincia	telefono	otros_telefonos	e_mail	web	
0	ASOCIACION MUTUAL SANCOR                                                                                                                                                                                	                  	25 DE MAYO 201                                    	2322	SANTA FE                      	                    	andrea.gueli@sancorsalud.com.ar
208	OBRA SOCIAL DEL  PERSONAL DE LA INDUSTRIA GRAFICA DE LA PROVINCIA DE CORDOBA                                                                                                                            	                  	AVELLANEDA 54                                     	5000	CORDOBA                       	                    	ospigpc@hotmail.com	ww.uogc.org.ar
307	 OBRA SOCIAL PORTUARIOS ARGENTINOS DE MAR DEL PLATA                                                                                                                                                     	OSPA              	RONDEAU 63                                        	7600	BUENOS AIRES                  	                    	portuariosargentinosmdp@yahoo.com.ar
406	OBRA SOCIAL DEL PERSONAL DEL ORGANISMO DE CONTROL EXTERNO                                                                                                                                               	OSPOCE            	BARTOLOME MITRE 1523                              	1037	CAPITAL FEDERAL               	0800-321-6776(O.S.) 		www.ospoce.com.ar
505	OBRA SOCIAL DE CAPITANES, PILOTOS Y PATRONES DE PESCA                                                                                                                                                   	OSPESCA           	AVDA JUAN B. JUSTO 518                            	7600	BUENOS AIRES                  	                    	ospesca@capitanesdepesca.org.ar	www.capitanesdepesca.org.ar
604	OBRA SOCIAL DE AGENTES DE LOTERIAS Y AFINES DE LA REPUBLICA  ARGENTINA                                                                                                                                  	OSALARA           	ADOLFO ALSINA 946                                 	1088	CAPITAL FEDERAL               	0800-333-8866       	osalara@aleara.com.ar	www.aleara.com.ar
901	 OBRA SOCIAL DE LA ACTIVIDAD DE SEGUROS, REASEGUROS, CAPITALIZACION Y AHORRO Y PRESTAMO PARA LA VIVIENDA                                                                                                	OSSEG             	PELLEGRINI 575                                    	1009	CAPITAL FEDERAL               	0800-666-7734       	informacion@osseg.org.ar	www.osseg.org.ar
1102	OBRA SOCIAL PARA LA ACTIVIDAD DOCENTE                                                                                                                                                                   	OSPLAD            	TACUARI 345                                       	1071	CAPITAL FEDERAL               	0810-666-7752       	info@osplad.org.ar	www.osplad.org.ar
1201	OBRA SOCIAL PARA EL PERSONAL DEL MINISTERIO DE ECONOMIA Y DE OBRAS Y SERVICIOS PUBLICOS                                                                                                                 	OSME              	VENEZUELA 155                                     	1095	CAPITAL FEDERAL               	0800-3456763        		www.osme.org.ar
1300	OBRA SOCIAL FERROVIARIA                                                                                                                                                                                 	OSFE              	ESTADOS UNIDOS 2859                               	1227	CAPITAL FEDERAL               	0800-333-3313       	info@osferroviaria.org.ar	www.osfe.org.ar
1508	OBRA SOCIAL DE LA ASOCIACION CIVIL PROSINDICATO DE AMAS DE CASA DE LA REPUBLICA ARGENTINA                                                                                                               	OSSACRA           	BARTOLOME MITRE Nª 844                            	1036	CAPITAL FEDERAL               	                    	info@ossacra.org.ar
